IF	IID	genotype	X	Y
2	1	0	4.02667948472155	0
2	2	0	2.66149371267768	0
2	3	0	10.4711485430349	1
2	4	0	2.89896379628687	0
2	5	0	6.34124374319677	1
5	1	1	4.55399817476633	1
5	2	2	3.61006121585036	0
5	3	2	5.01943188657619	0
5	4	0	3.79907022554993	0
5	5	2	6.34010244815724	1
8	1	0	4.80379896271169	1
8	2	0	3.52573277249769	0
8	3	0	2.89675693740844	0
8	4	0	0.832291655724968	0
8	5	0	4.23743928639672	1
15	1	0	3.357783871631	0
15	2	0	0.408811727501448	0
15	3	1	6.45779253381114	1
15	4	1	4.39159859699669	0
15	5	0	5.01536999035825	1
21	1	2	4.98253731371734	1
21	2	1	0.290184674897342	0
21	3	1	1.65477323289802	1
21	4	1	3.08404554549986	0
21	5	1	4.39014121102722	1
25	1	0	4.89540900663145	1
25	2	0	5.2561781512137	0
25	3	0	4.39160134104054	1
25	4	0	2.17460698944744	0
25	5	0	-0.995566817384861	0
30	1	1	5.87130384900491	0
30	2	1	-0.253139775382396	0
30	3	2	5.80674127845348	0
30	4	0	3.67975413437086	1
30	5	1	4.71088169658383	1
44	1	0	5.46939958583289	1
44	2	0	5.34643097355813	0
44	3	0	-1.59688761254993	0
44	4	0	1.24631263032363	0
44	5	0	9.81623808355089	1
45	1	1	5.65346554242944	1
45	2	0	7.01853129936288	1
45	3	1	5.77373989202361	0
45	4	1	4.56498975779369	1
45	5	1	6.99176982347803	1
48	1	0	3.59206599115552	0
48	2	1	1.02401677552758	0
48	3	1	3.39837291977109	1
48	4	1	6.6831294330736	1
48	5	1	1.7304785328602	0
56	1	1	8.63619042868105	1
56	2	1	9.51680834817571	1
56	3	0	8.96105139908282	0
56	4	0	9.18578596347412	1
56	5	1	5.80328404043343	1
58	1	0	0.868559569468628	1
58	2	1	11.453417867702	1
58	3	0	4.62793476725708	1
58	4	1	4.64615205157336	0
58	5	1	5.81370295510353	0
67	1	0	4.5346485839191	0
67	2	0	6.75128851110615	1
67	3	0	4.34465467882024	1
67	4	0	5.03524502226153	0
67	5	0	3.80227640150233	0
68	1	1	4.55725828409899	0
68	2	1	2.50776149328459	1
68	3	1	2.27870765538868	0
68	4	0	3.00331122037863	0
68	5	0	5.74683448736427	1
71	1	0	1.44266258607169	0
71	2	0	1.79900980917586	0
71	3	0	9.07269571642379	1
71	4	0	7.70277483105874	1
71	5	0	5.04116745829477	1
72	1	0	6.15168433741125	1
72	2	1	3.80378894107204	0
72	3	1	7.31751492832273	1
72	4	0	9.33563414783239	0
72	5	1	6.82518932015926	1
76	1	1	4.36854874394952	1
76	2	1	3.95885171239281	0
76	3	1	5.48746539276225	1
76	4	1	0.181119481670632	0
76	5	1	2.35061027251419	0
78	1	0	7.13089760528355	1
78	2	0	5.41009973985709	0
78	3	0	11.148945809812	1
78	4	0	1.93182182430379	0
78	5	0	-0.589873525485825	0
80	1	1	7.36283766182039	1
80	2	1	7.79410862512571	1
80	3	1	7.02892743408793	1
80	4	1	5.33929054969953	0
80	5	0	5.65748225479621	1
89	1	1	2.91652747223912	0
89	2	1	-0.162083621638845	0
89	3	1	4.91904720783424	0
89	4	1	5.3099527827699	1
89	5	1	5.87754453628085	1
90	1	0	2.08406737603291	0
90	2	0	2.62573551514454	1
90	3	1	2.27482463097383	0
90	4	0	4.60169334352568	0
90	5	1	7.5107674738479	1
92	1	1	5.18467066416852	0
92	2	1	3.10581492455009	0
92	3	0	7.12399921026303	1
92	4	1	1.41758452404279	0
92	5	1	6.98437792612444	1
100	1	2	5.70637340939121	1
100	2	2	7.47033970077158	0
100	3	2	1.52880703167136	0
100	4	2	4.08241344544244	0
100	5	2	0.467390735061354	1
102	1	1	1.70201687488357	0
102	2	1	5.36516230640476	1
102	3	0	6.08162445249532	0
102	4	1	8.27600553569052	1
102	5	0	5.18047531358579	0
105	1	1	4.16136434271061	0
105	2	0	4.72834710228216	0
105	3	1	6.75348700483425	1
105	4	2	6.1344379631041	1
105	5	1	6.30149549618177	1
110	1	0	2.11236623864676	0
110	2	0	6.98262906221663	0
110	3	0	10.5332308523783	1
110	4	0	5.92960266545394	0
110	5	0	7.39270666909247	1
112	1	1	7.7016342286561	1
112	2	1	2.69633729102033	0
112	3	1	3.63772900063318	0
112	4	1	4.47579174832101	0
112	5	1	8.31080069353441	1
113	1	0	2.33087262199714	0
113	2	1	7.91004418383356	1
113	3	1	6.27648220796549	1
113	4	0	3.6323153116817	0
113	5	0	4.62692602528371	0
114	1	0	4.20376991056285	0
114	2	0	4.57735055297052	1
114	3	0	4.87169006873045	1
114	4	0	2.64726461217335	0
114	5	0	2.06999954721866	0
117	1	1	3.82618741045856	0
117	2	1	6.22793052449962	0
117	3	1	-0.623093440547437	0
117	4	1	8.30048235154663	1
117	5	0	5.36057706876415	1
118	1	0	5.6509166941408	1
118	2	0	7.19742656239065	1
118	3	0	2.19405596507551	0
118	4	0	2.59514552507881	0
118	5	0	0.92907543201068	0
124	1	0	7.37028864901771	1
124	2	2	9.60116493518499	1
124	3	2	6.81411062847602	0
124	4	0	5.48646472780437	0
124	5	0	7.8675589027174	1
125	1	0	-2.90647902404046	0
125	2	0	4.87595877292642	1
125	3	0	3.66011855807159	1
125	4	0	3.91878918736444	0
125	5	0	2.62429690327176	0
129	1	1	7.50330441822332	1
129	2	1	3.56323713224547	1
129	3	1	5.68973471378632	1
129	4	1	4.33828317566631	0
129	5	2	8.06684143219313	1
138	1	1	0.0471770487669949	0
138	2	2	7.11208650188633	1
138	3	0	4.33387960859086	0
138	4	0	6.32988349546258	1
138	5	2	5.13685495239262	0
140	1	0	1.53651820999285	1
140	2	1	5.48067108249474	1
140	3	2	3.80596367106145	0
140	4	2	2.95174695612569	1
140	5	2	-0.369692675609511	0
143	1	0	7.77885113046142	1
143	2	0	6.27809487929383	0
143	3	1	9.2649415214119	1
143	4	1	7.9007022690242	1
143	5	1	4.56210407075568	0
144	1	1	5.05445191287466	0
144	2	0	0.444246013213621	0
144	3	1	6.64459760606108	1
144	4	1	0.846102015617791	0
144	5	0	3.05320748132504	1
147	1	0	7.61242059019282	1
147	2	0	4.3611607694577	0
147	3	0	0.0911882664172063	0
147	4	0	6.69902175053632	1
147	5	0	3.40690736047037	0
150	1	0	1.51776506050844	0
150	2	0	7.76699747142783	0
150	3	1	6.38571348671247	0
150	4	1	8.93783636852239	1
150	5	1	6.99450617179381	1
151	1	1	2.74972400190031	0
151	2	0	4.65966505380711	0
151	3	0	3.81330971551531	0
151	4	0	4.69762564560912	1
151	5	1	8.47989511962312	1
152	1	2	6.83045348640511	1
152	2	2	1.85317396851148	0
152	3	2	4.05872949501334	0
152	4	1	6.15658777283643	1
152	5	1	1.86812904665905	0
153	1	0	5.07805518348855	0
153	2	1	6.3210253626817	1
153	3	1	4.96353583158286	0
153	4	1	5.44128212182897	0
153	5	1	6.02243527660604	1
156	1	0	3.8290518427319	0
156	2	0	4.21221551841009	0
156	3	0	7.89517605763959	1
156	4	1	6.1465113224934	1
156	5	0	2.75647882277965	0
157	1	1	5.97857199670791	0
157	2	1	8.91148900646871	1
157	3	1	-0.56949533101905	0
157	4	1	3.34331268731389	0
157	5	1	6.84788860700532	1
159	1	1	3.33552725289571	0
159	2	1	6.47507614325849	1
159	3	0	8.92045515803041	1
159	4	0	-0.0501533391274314	1
159	5	0	1.0738037132568	0
161	1	0	4.86328649008071	0
161	2	0	7.2094012409058	1
161	3	0	-0.764407310477337	0
161	4	0	5.21666331198648	1
161	5	0	4.65612537394583	1
163	1	1	9.33842691934026	1
163	2	0	11.9608551501007	1
163	3	2	6.69618542540492	1
163	4	2	9.75668589652824	1
163	5	2	-0.36701500459333	0
165	1	0	5.68954222413074	1
165	2	0	7.37376595251546	1
165	3	0	7.67573688580052	0
165	4	0	5.06296934781105	1
165	5	0	8.65104010136145	1
170	1	1	4.49756107029637	0
170	2	0	7.44770692210171	1
170	3	0	6.17481075671121	0
170	4	0	7.18699297582142	1
170	5	0	5.40028213337572	0
172	1	1	8.25050819724739	1
172	2	0	6.22369304035258	0
172	3	1	4.72365142667872	1
172	4	0	7.20747993668736	0
172	5	1	7.73319119313152	1
176	1	1	1.0192249479314	0
176	2	0	3.57821450826171	1
176	3	0	2.36310867407721	0
176	4	1	5.85873023560135	0
176	5	1	7.03631670675765	1
177	1	0	1.48906058756283	0
177	2	1	6.22872971470224	1
177	3	2	5.42745973974961	0
177	4	2	6.70262130550215	1
177	5	1	7.41669436748273	1
182	1	1	4.05951222061194	1
182	2	0	3.82455328305493	1
182	3	0	3.04714199760981	0
182	4	1	1.3737256993848	0
182	5	1	4.38644420631759	0
185	1	1	4.70372282286529	0
185	2	2	4.88734379877426	0
185	3	2	4.58205920619769	0
185	4	2	6.42655097283055	1
185	5	2	7.91520310916049	1
186	1	1	4.42208094694646	0
186	2	0	3.09383038286509	1
186	3	0	2.78961626495675	1
186	4	1	-0.607520916557375	0
186	5	1	4.04008717441625	0
193	1	1	2.08253804232987	0
193	2	1	8.88389730204064	1
193	3	0	1.53817698481935	0
193	4	1	-1.21131426062733	0
193	5	1	9.59320002593403	1
194	1	1	4.78599864509067	1
194	2	1	6.70295112959828	0
194	3	2	7.62897146796915	1
194	4	0	-0.237565579983284	0
194	5	1	3.01002024279747	0
197	1	0	7.37794974406422	0
197	2	0	7.44849541103504	0
197	3	0	8.72557715002722	1
197	4	0	5.45165541787421	1
197	5	0	6.72186260240549	1
198	1	1	1.46616037027838	0
198	2	1	2.02068230174651	0
198	3	0	5.54286510513453	0
198	4	1	10.924989089984	1
198	5	1	6.48202105024933	1
199	1	0	4.22753095389838	0
199	2	0	-2.25242668873481	0
199	3	0	4.64095113600089	1
199	4	1	7.77066491636805	1
199	5	0	2.7378176453181	0
204	1	1	7.10768204789917	1
204	2	2	4.55350096331891	1
204	3	2	1.89371182597688	0
204	4	2	1.88278115010753	0
204	5	1	0.19084534129141	0
208	1	0	9.08869321687315	1
208	2	0	4.07960168083538	0
208	3	0	7.23478777041637	0
208	4	0	3.90084537621297	1
208	5	0	5.24916978520825	0
209	1	1	1.49343220302685	0
209	2	0	7.21042407421096	1
209	3	0	4.9950535508811	1
209	4	0	2.05389213188477	0
